condition,time_sec,luminance_mean,visual_change,cut_event,flash_proxy,audio_rms_proxy,audio_derivative_proxy,cue_on,cue_value,cue_phase_sin,cue_phase_cos,als_start_pulse
control,85.25,63.589,0.08654,0,0,0.07,0,0,0,0.5,-0.866025,0
control,85.5,63.172,0.08804,0,0,0.07,0,0,0,0.0,-1.0,0
control,85.75,62.749,0.08913,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,86.0,62.321,0.08978,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,86.25,61.888,0.09,0,0,0.07,0,0,0,-1.0,-0.0,0
control,86.5,61.451,0.08978,0,0,0.07,0,0,0,-0.866025,0.5,0
control,86.75,61.009,0.08913,0,0,0.07,0,0,0,-0.5,0.866025,0
control,87.0,60.562,0.08804,0,0,0.07,0,1,1,0.0,1.0,0
control,87.25,60.112,0.08654,0,0,0.07,0,1,1,0.5,0.866025,0
control,87.5,59.659,0.08464,0,0,0.07,0,1,1,0.866025,0.5,0
control,87.75,59.202,0.08236,0,0,0.07,0,1,1,1.0,0.0,0
control,88.0,58.742,0.07973,0,0,0.07,0,0,0,0.866025,-0.5,0
control,88.25,58.28,0.07677,0,0,0.07,0,0,0,0.5,-0.866025,0
control,88.5,57.816,0.07351,0,0,0.07,0,0,0,0.0,-1.0,0
control,88.75,57.349,0.07,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,89.0,56.882,0.06627,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,89.25,56.412,0.06236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,89.5,55.942,0.05832,0,0,0.07,0,0,0,-0.866025,0.5,0
control,89.75,55.471,0.05418,0,0,0.07,0,0,0,-0.5,0.866025,0
control,90.0,55.0,0.05,1,0,0.07,0,1,5,0.0,1.0,0
control,90.25,54.529,0.05418,0,0,0.07,0,1,5,0.5,0.866025,0
control,90.5,54.058,0.05832,0,0,0.07,0,1,5,0.866025,0.5,0
control,90.75,53.588,0.06236,0,0,0.07,0,1,5,1.0,0.0,0
control,91.0,53.118,0.06627,0,0,0.07,0,0,0,0.866025,-0.5,0
control,91.25,52.651,0.07,0,0,0.07,0,0,0,0.5,-0.866025,0
control,91.5,52.184,0.07351,0,0,0.07,0,0,0,0.0,-1.0,0
control,91.75,51.72,0.07677,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,92.0,51.258,0.07973,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,92.25,50.798,0.08236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,92.5,50.341,0.08464,0,0,0.07,0,0,0,-0.866025,0.5,0
control,92.75,49.888,0.08654,0,0,0.07,0,0,0,-0.5,0.866025,0
control,93.0,49.438,0.08804,0,0,0.07,0,1,5,0.0,1.0,0
control,93.25,48.991,0.08913,0,0,0.07,0,1,5,0.5,0.866025,0
control,93.5,48.549,0.08978,0,0,0.07,0,1,5,0.866025,0.5,0
control,93.75,48.112,0.09,0,0,0.07,0,1,5,1.0,0.0,0
control,94.0,47.679,0.08978,0,0,0.07,0,0,0,0.866025,-0.5,0
control,94.25,47.251,0.08913,0,0,0.07,0,0,0,0.5,-0.866025,0
control,94.5,46.828,0.08804,0,0,0.07,0,0,0,0.0,-1.0,0
control,94.75,46.411,0.08654,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,95.0,46.0,0.08464,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,95.25,45.595,0.08236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,95.5,45.196,0.07973,0,0,0.07,0,0,0,-0.866025,0.5,0
control,95.75,44.805,0.07677,0,0,0.07,0,0,0,-0.5,0.866025,0
control,96.0,44.42,0.07351,0,0,0.07,0,1,8,0.0,1.0,0
control,96.25,44.042,0.07,0,0,0.07,0,1,8,0.5,0.866025,0
control,96.5,43.672,0.06627,0,0,0.07,0,1,8,0.866025,0.5,0
control,96.75,43.31,0.06236,0,0,0.07,0,1,8,1.0,0.0,0
control,97.0,42.956,0.05832,0,0,0.07,0,0,0,0.866025,-0.5,0
control,97.25,42.61,0.05418,0,0,0.07,0,0,0,0.5,-0.866025,0
control,97.5,42.272,0.05,0,0,0.07,0,0,0,0.0,-1.0,0
control,97.75,41.943,0.05418,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,98.0,41.623,0.05832,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,98.25,41.313,0.06236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,98.5,41.011,0.06627,0,0,0.07,0,0,0,-0.866025,0.5,0
control,98.75,40.72,0.07,0,0,0.07,0,0,0,-0.5,0.866025,0
control,99.0,40.438,0.07351,0,0,0.07,0,1,7,0.0,1.0,0
control,99.25,40.166,0.07677,0,0,0.07,0,1,7,0.5,0.866025,0
control,99.5,39.904,0.07973,0,0,0.07,0,1,7,0.866025,0.5,0
control,99.75,39.652,0.08236,0,0,0.07,0,1,7,1.0,0.0,0
control,100.0,39.412,0.08464,0,0,0.07,0,0,0,0.866025,-0.5,0
control,100.25,39.181,0.08654,0,0,0.07,0,0,0,0.5,-0.866025,0
control,100.5,38.962,0.08804,0,0,0.07,0,0,0,0.0,-1.0,0
control,100.75,38.753,0.08913,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,101.0,38.556,0.08978,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,101.25,38.37,0.09,0,0,0.07,0,0,0,-1.0,-0.0,0
control,101.5,38.196,0.08978,0,0,0.07,0,0,0,-0.866025,0.5,0
control,101.75,38.032,0.08913,0,0,0.07,0,0,0,-0.5,0.866025,0
control,102.0,37.881,0.08804,0,0,0.07,0,1,1,0.0,1.0,0
control,102.25,37.741,0.08654,0,0,0.07,0,1,1,0.5,0.866025,0
control,102.5,37.613,0.08464,0,0,0.07,0,1,1,0.866025,0.5,0
control,102.75,37.497,0.08236,0,0,0.07,0,1,1,1.0,0.0,0
control,103.0,37.393,0.07973,0,0,0.07,0,0,0,0.866025,-0.5,0
control,103.25,37.301,0.07677,0,0,0.07,0,0,0,0.5,-0.866025,0
control,103.5,37.222,0.07351,0,0,0.07,0,0,0,0.0,-1.0,0
control,103.75,37.154,0.07,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,104.0,37.099,0.06627,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,104.25,37.055,0.06236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,104.5,37.025,0.05832,0,0,0.07,0,0,0,-0.866025,0.5,0
control,104.75,37.006,0.05418,0,0,0.07,0,0,0,-0.5,0.866025,0
control,105.0,37.0,0.05,0,0,0.07,0,1,2,0.0,1.0,0
control,105.25,37.006,0.05418,0,0,0.07,0,1,2,0.5,0.866025,0
control,105.5,37.025,0.05832,0,0,0.07,0,1,2,0.866025,0.5,0
control,105.75,37.055,0.06236,0,0,0.07,0,1,2,1.0,0.0,0
control,106.0,37.099,0.06627,0,0,0.07,0,0,0,0.866025,-0.5,0
control,106.25,37.154,0.07,0,0,0.07,0,0,0,0.5,-0.866025,0
control,106.5,37.222,0.07351,0,0,0.07,0,0,0,0.0,-1.0,0
control,106.75,37.301,0.07677,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,107.0,37.393,0.07973,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,107.25,37.497,0.08236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,107.5,37.613,0.08464,0,0,0.07,0,0,0,-0.866025,0.5,0
control,107.75,37.741,0.08654,0,0,0.07,0,0,0,-0.5,0.866025,0
control,108.0,37.881,0.08804,0,0,0.07,0,1,6,0.0,1.0,0
control,108.25,38.032,0.08913,0,0,0.07,0,1,6,0.5,0.866025,0
control,108.5,38.196,0.08978,0,0,0.07,0,1,6,0.866025,0.5,0
control,108.75,38.37,0.09,0,0,0.07,0,1,6,1.0,0.0,0
control,109.0,38.556,0.08978,0,0,0.07,0,0,0,0.866025,-0.5,0
control,109.25,38.753,0.08913,0,0,0.07,0,0,0,0.5,-0.866025,0
control,109.5,38.962,0.08804,0,0,0.07,0,0,0,0.0,-1.0,0
control,109.75,39.181,0.08654,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,110.0,39.412,0.08464,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,110.25,39.652,0.08236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,110.5,39.904,0.07973,0,0,0.07,0,0,0,-0.866025,0.5,0
control,110.75,40.166,0.07677,0,0,0.07,0,0,0,-0.5,0.866025,0
control,111.0,40.438,0.07351,0,0,0.07,0,1,9,0.0,1.0,0
control,111.25,40.72,0.07,0,0,0.07,0,1,9,0.5,0.866025,0
control,111.5,41.011,0.06627,0,0,0.07,0,1,9,0.866025,0.5,0
control,111.75,41.313,0.06236,0,0,0.07,0,1,9,1.0,0.0,0
control,112.0,41.623,0.05832,0,0,0.07,0,0,0,0.866025,-0.5,0
control,112.25,41.943,0.05418,0,0,0.07,0,0,0,0.5,-0.866025,0
control,112.5,42.272,0.05,0,0,0.07,0,0,0,0.0,-1.0,0
control,112.75,42.61,0.05418,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,113.0,42.956,0.05832,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,113.25,43.31,0.06236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,113.5,43.672,0.06627,0,0,0.07,0,0,0,-0.866025,0.5,0
control,113.75,44.042,0.07,0,0,0.07,0,0,0,-0.5,0.866025,0
control,114.0,44.42,0.07351,0,0,0.07,0,1,7,0.0,1.0,0
control,114.25,44.805,0.07677,0,0,0.07,0,1,7,0.5,0.866025,0
control,114.5,45.196,0.07973,0,0,0.07,0,1,7,0.866025,0.5,0
control,114.75,45.595,0.08236,0,0,0.07,0,1,7,1.0,0.0,0
control,115.0,46.0,0.08464,0,0,0.07,0,0,0,0.866025,-0.5,0
control,115.25,46.411,0.08654,0,0,0.07,0,0,0,0.5,-0.866025,0
control,115.5,46.828,0.08804,0,0,0.07,0,0,0,0.0,-1.0,0
control,115.75,47.251,0.08913,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,116.0,47.679,0.08978,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,116.25,48.112,0.09,0,0,0.07,0,0,0,-1.0,-0.0,0
control,116.5,48.549,0.08978,0,0,0.07,0,0,0,-0.866025,0.5,0
control,116.75,48.991,0.08913,0,0,0.07,0,0,0,-0.5,0.866025,0
control,117.0,49.438,0.08804,0,0,0.07,0,1,10,0.0,1.0,0
control,117.25,49.888,0.08654,0,0,0.07,0,1,10,0.5,0.866025,0
control,117.5,50.341,0.08464,0,0,0.07,0,1,10,0.866025,0.5,0
control,117.75,50.798,0.08236,0,0,0.07,0,1,10,1.0,0.0,0
control,118.0,51.258,0.07973,0,0,0.07,0,0,0,0.866025,-0.5,0
control,118.25,51.72,0.07677,0,0,0.07,0,0,0,0.5,-0.866025,0
control,118.5,52.184,0.07351,0,0,0.07,0,0,0,0.0,-1.0,0
control,118.75,52.651,0.07,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,119.0,53.118,0.06627,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,119.25,53.588,0.06236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,119.5,54.058,0.05832,0,0,0.07,0,0,0,-0.866025,0.5,0
control,119.75,54.529,0.05418,0,0,0.07,0,0,0,-0.5,0.866025,0
control,120.0,55.0,0.05,0,0,0.07,0,1,2,0.0,1.0,0
control,120.25,55.471,0.05418,0,0,0.07,0,1,2,0.5,0.866025,0
control,120.5,55.942,0.05832,0,0,0.07,0,1,2,0.866025,0.5,0
control,120.75,56.412,0.06236,0,0,0.07,0,1,2,1.0,0.0,0
control,121.0,56.882,0.06627,0,0,0.07,0,0,0,0.866025,-0.5,0
control,121.25,57.349,0.07,0,0,0.07,0,0,0,0.5,-0.866025,0
control,121.5,57.816,0.07351,0,0,0.07,0,0,0,0.0,-1.0,0
control,121.75,58.28,0.07677,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,122.0,58.742,0.07973,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,122.25,59.202,0.08236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,122.5,59.659,0.08464,0,0,0.07,0,0,0,-0.866025,0.5,0
control,122.75,60.112,0.08654,0,0,0.07,0,0,0,-0.5,0.866025,0
control,123.0,60.562,0.08804,0,0,0.07,0,1,2,0.0,1.0,0
control,123.25,61.009,0.08913,0,0,0.07,0,1,2,0.5,0.866025,0
control,123.5,61.451,0.08978,0,0,0.07,0,1,2,0.866025,0.5,0
control,123.75,61.888,0.09,0,0,0.07,0,1,2,1.0,0.0,0
control,124.0,62.321,0.08978,0,0,0.07,0,0,0,0.866025,-0.5,0
control,124.25,62.749,0.08913,0,0,0.07,0,0,0,0.5,-0.866025,0
control,124.5,63.172,0.08804,0,0,0.07,0,0,0,0.0,-1.0,0
control,124.75,63.589,0.08654,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,125.0,64.0,0.08464,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,125.25,64.405,0.08236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,125.5,64.804,0.07973,0,0,0.07,0,0,0,-0.866025,0.5,0
control,125.75,65.195,0.07677,0,0,0.07,0,0,0,-0.5,0.866025,0
control,126.0,65.58,0.07351,0,0,0.07,0,1,5,0.0,1.0,0
control,126.25,65.958,0.07,0,0,0.07,0,1,5,0.5,0.866025,0
control,126.5,66.328,0.06627,0,0,0.07,0,1,5,0.866025,0.5,0
control,126.75,66.69,0.06236,0,0,0.07,0,1,5,1.0,0.0,0
control,127.0,67.044,0.05832,0,0,0.07,0,0,0,0.866025,-0.5,0
control,127.25,67.39,0.05418,0,0,0.07,0,0,0,0.5,-0.866025,0
control,127.5,67.728,0.05,0,0,0.07,0,0,0,0.0,-1.0,0
control,127.75,68.057,0.05418,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,128.0,68.377,0.05832,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,128.25,68.687,0.06236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,128.5,68.989,0.06627,0,0,0.07,0,0,0,-0.866025,0.5,0
control,128.75,69.28,0.07,0,0,0.07,0,0,0,-0.5,0.866025,0
control,129.0,69.562,0.07351,0,0,0.07,0,1,4,0.0,1.0,0
control,129.25,69.834,0.07677,0,0,0.07,0,1,4,0.5,0.866025,0
control,129.5,70.096,0.07973,0,0,0.07,0,1,4,0.866025,0.5,0
control,129.75,70.348,0.08236,0,0,0.07,0,1,4,1.0,0.0,0
control,130.0,70.588,0.08464,0,0,0.07,0,0,0,0.866025,-0.5,0
control,130.25,70.819,0.08654,0,0,0.07,0,0,0,0.5,-0.866025,0
control,130.5,71.038,0.08804,0,0,0.07,0,0,0,0.0,-1.0,0
control,130.75,71.247,0.08913,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,131.0,71.444,0.08978,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,131.25,71.63,0.09,0,0,0.07,0,0,0,-1.0,-0.0,0
control,131.5,71.804,0.08978,0,0,0.07,0,0,0,-0.866025,0.5,0
control,131.75,71.968,0.08913,0,0,0.07,0,0,0,-0.5,0.866025,0
control,132.0,72.119,0.08804,0,0,0.07,0,1,5,0.0,1.0,0
control,132.25,72.259,0.08654,0,0,0.07,0,1,5,0.5,0.866025,0
control,132.5,72.387,0.08464,0,0,0.07,0,1,5,0.866025,0.5,0
control,132.75,72.503,0.08236,0,0,0.07,0,1,5,1.0,0.0,0
control,133.0,72.607,0.07973,0,0,0.07,0,0,0,0.866025,-0.5,0
control,133.25,72.699,0.07677,0,0,0.07,0,0,0,0.5,-0.866025,0
control,133.5,72.778,0.07351,0,0,0.07,0,0,0,0.0,-1.0,0
control,133.75,72.846,0.07,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,134.0,72.901,0.06627,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,134.25,72.945,0.06236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,134.5,72.975,0.05832,0,0,0.07,0,0,0,-0.866025,0.5,0
control,134.75,72.994,0.05418,0,0,0.07,0,0,0,-0.5,0.866025,0
control,135.0,73.0,0.05,1,0,0.07,0,1,7,0.0,1.0,0
control,135.25,72.994,0.05418,0,0,0.07,0,1,7,0.5,0.866025,0
control,135.5,72.975,0.05832,0,0,0.07,0,1,7,0.866025,0.5,0
control,135.75,72.945,0.06236,0,0,0.07,0,1,7,1.0,0.0,0
control,136.0,72.901,0.06627,0,0,0.07,0,0,0,0.866025,-0.5,0
control,136.25,72.846,0.07,0,0,0.07,0,0,0,0.5,-0.866025,0
control,136.5,72.778,0.07351,0,0,0.07,0,0,0,0.0,-1.0,0
control,136.75,72.699,0.07677,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,137.0,72.607,0.07973,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,137.25,72.503,0.08236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,137.5,72.387,0.08464,0,0,0.07,0,0,0,-0.866025,0.5,0
control,137.75,72.259,0.08654,0,0,0.07,0,0,0,-0.5,0.866025,0
control,138.0,72.119,0.08804,0,0,0.07,0,1,10,0.0,1.0,0
control,138.25,71.968,0.08913,0,0,0.07,0,1,10,0.5,0.866025,0
control,138.5,71.804,0.08978,0,0,0.07,0,1,10,0.866025,0.5,0
control,138.75,71.63,0.09,0,0,0.07,0,1,10,1.0,0.0,0
control,139.0,71.444,0.08978,0,0,0.07,0,0,0,0.866025,-0.5,0
control,139.25,71.247,0.08913,0,0,0.07,0,0,0,0.5,-0.866025,0
control,139.5,71.038,0.08804,0,0,0.07,0,0,0,0.0,-1.0,0
control,139.75,70.819,0.08654,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,140.0,70.588,0.08464,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,140.25,70.348,0.08236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,140.5,70.096,0.07973,0,0,0.07,0,0,0,-0.866025,0.5,0
control,140.75,69.834,0.07677,0,0,0.07,0,0,0,-0.5,0.866025,0
control,141.0,69.562,0.07351,0,0,0.07,0,1,2,0.0,1.0,0
control,141.25,69.28,0.07,0,0,0.07,0,1,2,0.5,0.866025,0
control,141.5,68.989,0.06627,0,0,0.07,0,1,2,0.866025,0.5,0
control,141.75,68.687,0.06236,0,0,0.07,0,1,2,1.0,0.0,0
control,142.0,68.377,0.05832,0,0,0.07,0,0,0,0.866025,-0.5,0
control,142.25,68.057,0.05418,0,0,0.07,0,0,0,0.5,-0.866025,0
control,142.5,67.728,0.05,0,0,0.07,0,0,0,0.0,-1.0,0
control,142.75,67.39,0.05418,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,143.0,67.044,0.05832,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,143.25,66.69,0.06236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,143.5,66.328,0.06627,0,0,0.07,0,0,0,-0.866025,0.5,0
control,143.75,65.958,0.07,0,0,0.07,0,0,0,-0.5,0.866025,0
control,144.0,65.58,0.07351,0,0,0.07,0,1,9,0.0,1.0,0
control,144.25,65.195,0.07677,0,0,0.07,0,1,9,0.5,0.866025,0
control,144.5,64.804,0.07973,0,0,0.07,0,1,9,0.866025,0.5,0
control,144.75,64.405,0.08236,0,0,0.07,0,1,9,1.0,0.0,0
control,145.0,64.0,0.08464,0,0,0.07,0,0,0,0.866025,-0.5,0
control,145.25,63.589,0.08654,0,0,0.07,0,0,0,0.5,-0.866025,0
control,145.5,63.172,0.08804,0,0,0.07,0,0,0,0.0,-1.0,0
control,145.75,62.749,0.08913,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,146.0,62.321,0.08978,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,146.25,61.888,0.09,0,0,0.07,0,0,0,-1.0,-0.0,0
control,146.5,61.451,0.08978,0,0,0.07,0,0,0,-0.866025,0.5,0
control,146.75,61.009,0.08913,0,0,0.07,0,0,0,-0.5,0.866025,0
control,147.0,60.562,0.08804,0,0,0.07,0,1,3,0.0,1.0,0
control,147.25,60.112,0.08654,0,0,0.07,0,1,3,0.5,0.866025,0
control,147.5,59.659,0.08464,0,0,0.07,0,1,3,0.866025,0.5,0
control,147.75,59.202,0.08236,0,0,0.07,0,1,3,1.0,0.0,0
control,148.0,58.742,0.07973,0,0,0.07,0,0,0,0.866025,-0.5,0
control,148.25,58.28,0.07677,0,0,0.07,0,0,0,0.5,-0.866025,0
control,148.5,57.816,0.07351,0,0,0.07,0,0,0,0.0,-1.0,0
control,148.75,57.349,0.07,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,149.0,56.882,0.06627,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,149.25,56.412,0.06236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,149.5,55.942,0.05832,0,0,0.07,0,0,0,-0.866025,0.5,0
control,149.75,55.471,0.05418,0,0,0.07,0,0,0,-0.5,0.866025,0
control,150.0,55.0,0.05,0,0,0.07,0,1,1,0.0,1.0,0
control,150.25,54.529,0.05418,0,0,0.07,0,1,1,0.5,0.866025,0
control,150.5,54.058,0.05832,0,0,0.07,0,1,1,0.866025,0.5,0
control,150.75,53.588,0.06236,0,0,0.07,0,1,1,1.0,0.0,0
control,151.0,53.118,0.06627,0,0,0.07,0,0,0,0.866025,-0.5,0
control,151.25,52.651,0.07,0,0,0.07,0,0,0,0.5,-0.866025,0
control,151.5,52.184,0.07351,0,0,0.07,0,0,0,0.0,-1.0,0
control,151.75,51.72,0.07677,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,152.0,51.258,0.07973,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,152.25,50.798,0.08236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,152.5,50.341,0.08464,0,0,0.07,0,0,0,-0.866025,0.5,0
control,152.75,49.888,0.08654,0,0,0.07,0,0,0,-0.5,0.866025,0
control,153.0,49.438,0.08804,0,0,0.07,0,1,5,0.0,1.0,0
control,153.25,48.991,0.08913,0,0,0.07,0,1,5,0.5,0.866025,0
control,153.5,48.549,0.08978,0,0,0.07,0,1,5,0.866025,0.5,0
control,153.75,48.112,0.09,0,0,0.07,0,1,5,1.0,0.0,0
control,154.0,47.679,0.08978,0,0,0.07,0,0,0,0.866025,-0.5,0
control,154.25,47.251,0.08913,0,0,0.07,0,0,0,0.5,-0.866025,0
control,154.5,46.828,0.08804,0,0,0.07,0,0,0,0.0,-1.0,0
control,154.75,46.411,0.08654,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,155.0,46.0,0.08464,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,155.25,45.595,0.08236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,155.5,45.196,0.07973,0,0,0.07,0,0,0,-0.866025,0.5,0
control,155.75,44.805,0.07677,0,0,0.07,0,0,0,-0.5,0.866025,0
control,156.0,44.42,0.07351,0,0,0.07,0,1,7,0.0,1.0,0
control,156.25,44.042,0.07,0,0,0.07,0,1,7,0.5,0.866025,0
control,156.5,43.672,0.06627,0,0,0.07,0,1,7,0.866025,0.5,0
control,156.75,43.31,0.06236,0,0,0.07,0,1,7,1.0,0.0,0
control,157.0,42.956,0.05832,0,0,0.07,0,0,0,0.866025,-0.5,0
control,157.25,42.61,0.05418,0,0,0.07,0,0,0,0.5,-0.866025,0
control,157.5,42.272,0.05,0,0,0.07,0,0,0,0.0,-1.0,0
control,157.75,41.943,0.05418,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,158.0,41.623,0.05832,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,158.25,41.313,0.06236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,158.5,41.011,0.06627,0,0,0.07,0,0,0,-0.866025,0.5,0
control,158.75,40.72,0.07,0,0,0.07,0,0,0,-0.5,0.866025,0
control,159.0,40.438,0.07351,0,0,0.07,0,1,10,0.0,1.0,0
control,159.25,40.166,0.07677,0,0,0.07,0,1,10,0.5,0.866025,0
control,159.5,39.904,0.07973,0,0,0.07,0,1,10,0.866025,0.5,0
control,159.75,39.652,0.08236,0,0,0.07,0,1,10,1.0,0.0,0
control,160.0,39.412,0.08464,0,0,0.07,0,0,0,0.866025,-0.5,0
control,160.25,39.181,0.08654,0,0,0.07,0,0,0,0.5,-0.866025,0
control,160.5,38.962,0.08804,0,0,0.07,0,0,0,0.0,-1.0,0
control,160.75,38.753,0.08913,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,161.0,38.556,0.08978,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,161.25,38.37,0.09,0,0,0.07,0,0,0,-1.0,-0.0,0
control,161.5,38.196,0.08978,0,0,0.07,0,0,0,-0.866025,0.5,0
control,161.75,38.032,0.08913,0,0,0.07,0,0,0,-0.5,0.866025,0
control,162.0,37.881,0.08804,0,0,0.07,0,1,6,0.0,1.0,0
control,162.25,37.741,0.08654,0,0,0.07,0,1,6,0.5,0.866025,0
control,162.5,37.613,0.08464,0,0,0.07,0,1,6,0.866025,0.5,0
control,162.75,37.497,0.08236,0,0,0.07,0,1,6,1.0,0.0,0
control,163.0,37.393,0.07973,0,0,0.07,0,0,0,0.866025,-0.5,0
control,163.25,37.301,0.07677,0,0,0.07,0,0,0,0.5,-0.866025,0
control,163.5,37.222,0.07351,0,0,0.07,0,0,0,0.0,-1.0,0
control,163.75,37.154,0.07,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,164.0,37.099,0.06627,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,164.25,37.055,0.06236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,164.5,37.025,0.05832,0,0,0.07,0,0,0,-0.866025,0.5,0
control,164.75,37.006,0.05418,0,0,0.07,0,0,0,-0.5,0.866025,0
control,165.0,37.0,0.05,0,0,0.07,0,1,9,0.0,1.0,0
control,165.25,37.006,0.05418,0,0,0.07,0,1,9,0.5,0.866025,0
control,165.5,37.025,0.05832,0,0,0.07,0,1,9,0.866025,0.5,0
control,165.75,37.055,0.06236,0,0,0.07,0,1,9,1.0,0.0,0
control,166.0,37.099,0.06627,0,0,0.07,0,0,0,0.866025,-0.5,0
control,166.25,37.154,0.07,0,0,0.07,0,0,0,0.5,-0.866025,0
control,166.5,37.222,0.07351,0,0,0.07,0,0,0,0.0,-1.0,0
control,166.75,37.301,0.07677,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,167.0,37.393,0.07973,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,167.25,37.497,0.08236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,167.5,37.613,0.08464,0,0,0.07,0,0,0,-0.866025,0.5,0
control,167.75,37.741,0.08654,0,0,0.07,0,0,0,-0.5,0.866025,0
control,168.0,37.881,0.08804,0,0,0.07,0,1,9,0.0,1.0,0
control,168.25,38.032,0.08913,0,0,0.07,0,1,9,0.5,0.866025,0
control,168.5,38.196,0.08978,0,0,0.07,0,1,9,0.866025,0.5,0
control,168.75,38.37,0.09,0,0,0.07,0,1,9,1.0,0.0,0
control,169.0,38.556,0.08978,0,0,0.07,0,0,0,0.866025,-0.5,0
control,169.25,38.753,0.08913,0,0,0.07,0,0,0,0.5,-0.866025,0
control,169.5,38.962,0.08804,0,0,0.07,0,0,0,0.0,-1.0,0
control,169.75,39.181,0.08654,0,0,0.07,0,0,0,-0.5,-0.866025,0
control,170.0,39.412,0.08464,0,0,0.07,0,0,0,-0.866025,-0.5,0
control,170.25,39.652,0.08236,0,0,0.07,0,0,0,-1.0,-0.0,0
control,170.5,39.904,0.07973,0,0,0.07,0,0,0,-0.866025,0.5,0
control,170.75,40.166,0.07677,0,0,0.07,0,0,0,-0.5,0.866025,0
